Open Price,Low Price,High Price,Close Price,Change Amount,Change Percent,Gregorian Date,Persian Date
978200,978200,1006800,994900,24400,2.51%,2025/03/07,1403/12/17
960800,959200,975000,970500,10500,1.09%,2025/03/05,1403/12/15
968300,954100,973900,960000,300,0.03%,2025/03/04,1403/12/14
957600,955300,967300,959700,1600,0.17%,2025/03/03,1403/12/13
964500,951900,965800,958100,5400,0.56%,2025/03/02,1403/12/12
962000,955500,975000,963500,1300,0.14%,2025/03/01,1403/12/11
966600,959600,968300,962200,16400,1.7%,2025/02/28,1403/12/10
977100,976900,983200,978600,3700,0.38%,2025/02/26,1403/12/08
975500,975500,990700,982300,11500,1.18%,2025/02/25,1403/12/07
964100,957600,971600,970800,6600,0.68%,2025/02/24,1403/12/06
979200,963400,982700,964200,12100,1.25%,2025/02/23,1403/12/05
980200,971300,983200,976300,9100,0.93%,2025/02/22,1403/12/04
979000,978900,993700,985400,6600,0.67%,2025/02/21,1403/12/03
967200,966800,980300,978800,12100,1.25%,2025/02/19,1403/12/01
966400,964900,976200,966700,2300,0.24%,2025/02/18,1403/11/30
957000,956900,969600,969000,11000,1.15%,2025/02/17,1403/11/29
958200,956300,962400,958000,-,-,2025/02/16,1403/11/28
958400,947200,963100,958000,400,0.04%,2025/02/15,1403/11/27
954100,953000,960800,957600,25700,2.76%,2025/02/14,1403/11/26
930900,929800,935100,931900,8300,0.9%,2025/02/12,1403/11/24
926200,913600,926400,923600,2800,0.3%,2025/02/11,1403/11/23
952800,906100,953200,920800,31100,3.38%,2025/02/10,1403/11/22
926000,925700,951900,951900,24800,2.68%,2025/02/08,1403/11/20
897500,897300,928200,927100,36500,4.1%,2025/02/07,1403/11/19
890400,889400,892100,890600,2300,0.26%,2025/02/05,1403/11/17
882800,882800,895700,892900,11100,1.26%,2025/02/04,1403/11/16
868100,867700,883000,881800,12300,1.41%,2025/02/03,1403/11/15
863500,862000,870400,869500,5000,0.58%,2025/02/02,1403/11/14
873300,872900,879800,874500,2300,0.26%,2025/02/01,1403/11/13
868600,868500,872500,872200,1700,0.19%,2025/01/31,1403/11/12
870500,869000,873900,873900,2700,0.31%,2025/01/29,1403/11/10
876600,867100,880900,871200,14700,1.69%,2025/01/28,1403/11/09
880100,877600,889600,885900,1000,0.11%,2025/01/26,1403/11/07
881800,880900,885500,884900,5400,0.61%,2025/01/25,1403/11/06
874800,874600,881300,879500,2100,0.24%,2025/01/24,1403/11/05
861900,861600,877600,877400,13500,1.56%,2025/01/22,1403/11/03
862300,860700,869700,863900,3100,0.36%,2025/01/21,1403/11/02
843200,843200,861700,860800,14200,1.68%,2025/01/20,1403/11/01
835700,835400,847800,846600,13800,1.66%,2025/01/19,1403/10/30
832700,832300,835300,832800,1300,0.16%,2025/01/18,1403/10/29
826700,826700,831700,831500,5300,0.64%,2025/01/17,1403/10/28
833100,825800,833100,826200,6500,0.79%,2025/01/15,1403/10/26
840900,832300,843000,832700,2300,0.28%,2025/01/14,1403/10/25
827900,827600,838200,835000,4900,0.59%,2025/01/12,1403/10/23
843700,829600,843700,830100,13300,1.6%,2025/01/11,1403/10/22
838200,838200,845300,843400,100,0.01%,2025/01/10,1403/10/21
832200,832000,844800,843500,10000,1.2%,2025/01/08,1403/10/19
833000,827800,838600,833500,1300,0.16%,2025/01/07,1403/10/18
830100,829900,842400,834800,6500,0.78%,2025/01/06,1403/10/17
824500,820300,831600,828300,4400,0.53%,2025/01/05,1403/10/16
827300,823400,830000,823900,3200,0.39%,2025/01/04,1403/10/15
836500,820800,836600,827100,10100,1.22%,2025/01/03,1403/10/14
849300,837000,849900,837200,11300,1.35%,2025/01/01,1403/10/12
